;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
United Nations;;;;;;;;;;;;;;;;;;;;;;
Population Division;;;;;;;;;;;;;;;;;;;;;;
Department of Economic and Social Affairs;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
World Population Prospects: The 2015 Revision;;;;;;;;;;;;;;;;;;;;;;
File POP/5: Median age by major area, region and country, 1950-2100 (years);;;;;;;;;;;;;;;;;;;;;;
Medium fertility variant, 2015 - 2100;;;;;;;;;;;;;;;;;;;;;;
POP/DB/WPP/Rev.2015/POP/F05;;;;;;;;;;;;;;;;;;;;;;
July 2015 - Copyright © 2015 by United Nations. All rights reserved;;;;;;;;;;;;;;;;;;;;;;
Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2015). World Population Prospects: The 2015 Revision, DVD Edition.;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;Median age of the total population (years);;;;;;;;;;;;;;;;;
Index;Variant;Major area, region, country or area *;Notes;Country code;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
46;Medium variant;Algeria;;12;27.6;29.1;30.7;31.9;32.8;33.8;35.3;37.1;38.8;40.4;41.7;42.7;43.3;43.7;44.3;45.2;46.1;46.9
47;Medium variant;Egypt;;818;24.7;25.3;25.7;26.5;27.2;28.3;29.7;31.0;32.1;33.1;34.1;35.1;36.3;37.6;38.8;40.0;41.0;42.0
48;Medium variant;Libya;;434;27.5;29.0;30.3;31.8;33.4;35.0;36.7;38.4;40.0;41.2;42.2;43.0;43.6;44.2;44.9;45.6;46.3;46.7
49;Medium variant;Morocco;;504;28.0;29.6;31.4;33.1;34.6;35.9;37.2;38.6;40.3;41.8;43.1;44.3;45.1;45.8;46.4;47.1;47.8;48.3
50;Medium variant;Sudan;;729;19.4;20.3;21.3;22.3;23.2;24.2;25.2;26.2;27.2;28.3;29.3;30.3;31.3;32.3;33.3;34.2;35.2;36.2
51;Medium variant;Tunisia;;788;31.2;32.9;34.8;36.5;38.0;39.0;39.6;40.4;41.6;42.8;43.9;44.8;45.2;45.4;45.6;46.1;46.7;47.2
52;Medium variant;Western Sahara;;732;29.4;31.3;33.2;34.9;36.2;37.5;38.7;39.8;40.9;41.8;42.6;43.3;44.0;44.5;45.1;45.6;46.0;46.4
53;Medium variant;Southern Africa;;913;25.2;26.3;27.5;28.6;29.5;30.7;32.0;33.2;34.5;35.7;36.7;37.7;38.6;39.5;40.3;41.0;41.7;42.2
54;Medium variant;Botswana;;72;24.2;25.5;26.7;28.0;29.2;30.5;32.0;33.6;35.0;36.3;37.4;38.4;39.2;40.1;40.9;41.7;42.3;42.9
55;Medium variant;Lesotho;;426;21.0;21.8;22.5;23.1;24.0;25.2;26.6;28.0;29.4;30.7;31.9;33.1;34.3;35.5;36.7;37.7;38.7;39.7
