;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
United Nations;;;;;;;;;;;;;;;;;;;;;
Population Division;;;;;;;;;;;;;;;;;;;;;
Department of Economic and Social Affairs;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
World Population Prospects: The 2015 Revision;;;;;;;;;;;;;;;;;;;;;
File POP/2: Average annual rate of population change by major area, region and country, 1950-2100 (percentage);;;;;;;;;;;;;;;;;;;;;
Instant-replacement-fertility variant, 2015 - 2100;;;;;;;;;;;;;;;;;;;;;
POP/DB/WPP/Rev.2015/POP/F02;;;;;;;;;;;;;;;;;;;;;
July 2015 - Copyright © 2015 by United Nations. All rights reserved;;;;;;;;;;;;;;;;;;;;;
Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2015). World Population Prospects: The 2015 Revision, DVD Edition.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;Average annual rate of population change (percentage);;;;;;;;;;;;;;;;
Index;Variant;Major area, region, country or area *;Notes;Country code;2015-2020;2020-2025;2025-2030;2030-2035;2035-2040;2040-2045;2045-2050;2050-2055;2055-2060;2060-2065;2065-2070;2070-2075;2075-2080;2080-2085;2085-2090;2090-2095;2095-2100
35;Instant-replacement;Middle Africa;;911;1.01;1.24;1.40;1.46;1.33;1.08;0.87;0.76;0.70;0.65;0.55;0.42;0.29;0.21;0.16;0.15;0.16
36;Instant-replacement;Angola;;24;1.00;1.27;1.47;1.53;1.37;1.08;0.85;0.78;0.76;0.70;0.58;0.43;0.31;0.24;0.20;0.18;0.19
37;Instant-replacement;Cameroon;;120;0.99;1.15;1.27;1.32;1.24;1.05;0.85;0.72;0.66;0.61;0.52;0.40;0.28;0.19;0.14;0.13;0.14
38;Instant-replacement;Central African Republic;;140;0.96;1.12;1.21;1.22;1.14;0.99;0.85;0.77;0.70;0.62;0.52;0.42;0.33;0.26;0.23;0.20;0.19
39;Instant-replacement;Chad;;148;1.08;1.33;1.50;1.57;1.39;1.05;0.82;0.77;0.77;0.71;0.56;0.40;0.30;0.26;0.27;0.29;0.31
40;Instant-replacement;Congo;;178;0.97;1.18;1.36;1.44;1.31;1.05;0.84;0.75;0.71;0.64;0.53;0.40;0.29;0.20;0.14;0.09;0.07
41;Instant-replacement;Democratic Republic of the Congo;;180;1.01;1.25;1.42;1.48;1.35;1.10;0.90;0.77;0.69;0.63;0.54;0.42;0.29;0.19;0.13;0.12;0.13
42;Instant-replacement;Equatorial Guinea;;226;1.39;1.48;1.53;1.51;1.37;1.16;1.02;0.96;0.93;0.87;0.76;0.64;0.52;0.44;0.39;0.35;0.31
43;Instant-replacement;Gabon;;266;1.08;1.18;1.25;1.25;1.17;1.03;0.87;0.72;0.61;0.54;0.47;0.37;0.27;0.18;0.12;0.09;0.10
44;Instant-replacement;Sao Tome and Principe;;678;0.59;0.76;0.90;0.93;0.82;0.64;0.45;0.24;0.08;0;-0.03;-0.09;-0.19;-0.30;-0.37;-0.37;-0.29
45;Instant-replacement;Northern Africa;;912;1.10;1.05;1.01;0.98;0.90;0.75;0.61;0.49;0.42;0.36;0.30;0.23;0.18;0.15;0.13;0.12;0.11
46;Instant-replacement;Algeria;;12;1.24;1.10;0.95;0.87;0.82;0.77;0.68;0.54;0.40;0.31;0.26;0.22;0.20;0.18;0.16;0.13;0.11
47;Instant-replacement;Egypt;;818;1.08;1.03;1.01;1.04;0.95;0.77;0.62;0.52;0.46;0.41;0.34;0.26;0.21;0.18;0.17;0.14;0.11
48;Instant-replacement;Libya;;434;1.16;1.12;1.00;0.93;0.86;0.76;0.60;0.43;0.33;0.29;0.30;0.30;0.29;0.25;0.21;0.17;0.16
49;Instant-replacement;Morocco;;504;0.97;0.89;0.78;0.68;0.58;0.49;0.39;0.30;0.23;0.17;0.11;0.07;0.03;0.01;0.01;0.00;-0.00
50;Instant-replacement;Sudan;;729;1.10;1.24;1.31;1.32;1.21;0.96;0.71;0.58;0.55;0.51;0.43;0.29;0.16;0.10;0.10;0.13;0.17
51;Instant-replacement;Tunisia;;788;1.04;0.88;0.69;0.54;0.46;0.42;0.38;0.30;0.21;0.13;0.09;0.10;0.12;0.14;0.14;0.12;0.09
52;Instant-replacement;Western Sahara;;732;2.02;1.81;1.61;1.43;1.28;1.15;1.04;0.92;0.82;0.74;0.68;0.64;0.61;0.57;0.54;0.49;0.45
53;Instant-replacement;Southern Africa;;913;0.82;0.72;0.68;0.67;0.66;0.64;0.60;0.55;0.50;0.45;0.40;0.35;0.31;0.29;0.27;0.25;0.23
54;Instant-replacement;Botswana;;72;1.28;1.22;1.14;1.07;0.99;0.87;0.75;0.63;0.53;0.45;0.38;0.32;0.28;0.24;0.22;0.21;0.20
55;Instant-replacement;Lesotho;;426;0.64;0.66;0.69;0.73;0.73;0.71;0.70;0.66;0.57;0.48;0.40;0.34;0.29;0.26;0.24;0.22;0.20
56;Instant-replacement;Namibia;;516;1.19;1.22;1.23;1.19;1.07;0.92;0.78;0.68;0.62;0.56;0.47;0.36;0.27;0.21;0.17;0.16;0.16
57;Instant-replacement;South Africa;;710;0.79;0.67;0.63;0.63;0.62;0.61;0.58;0.53;0.48;0.43;0.39;0.35;0.32;0.29;0.28;0.26;0.24
58;Instant-replacement;Swaziland;;748;0.74;0.72;0.72;0.77;0.77;0.74;0.70;0.68;0.65;0.60;0.52;0.44;0.38;0.34;0.32;0.31;0.30
59;Instant-replacement;Western Africa;;914;0.88;1.06;1.20;1.25;1.15;0.96;0.78;0.64;0.55;0.50;0.43;0.33;0.22;0.14;0.11;0.12;0.17
60;Instant-replacement;Benin;;204;1.10;1.25;1.35;1.37;1.22;0.95;0.71;0.60;0.56;0.50;0.38;0.24;0.12;0.06;0.06;0.10;0.14
61;Instant-replacement;Burkina Faso;;854;0.95;1.16;1.34;1.41;1.29;1.03;0.77;0.62;0.56;0.52;0.42;0.28;0.15;0.07;0.05;0.09;0.15
62;Instant-replacement;Cabo Verde;;132;1.12;1.15;1.11;1.03;0.94;0.83;0.72;0.62;0.53;0.43;0.33;0.24;0.17;0.14;0.12;0.12;0.12
63;Instant-replacement;Côte d'Ivoire;;384;0.88;1.06;1.20;1.22;1.08;0.93;0.83;0.77;0.68;0.60;0.52;0.45;0.38;0.32;0.27;0.25;0.24
64;Instant-replacement;Gambia;;270;0.96;1.16;1.32;1.38;1.26;1.06;0.84;0.66;0.53;0.46;0.38;0.28;0.15;0.05;0.00;0.03;0.11
65;Instant-replacement;Ghana;;288;1.02;1.08;1.11;1.11;1.02;0.84;0.64;0.47;0.39;0.35;0.30;0.21;0.12;0.06;0.04;0.08;0.13
66;Instant-replacement;Guinea;;324;1.00;1.18;1.31;1.32;1.20;1.05;0.88;0.74;0.66;0.60;0.51;0.41;0.30;0.22;0.16;0.14;0.16
67;Instant-replacement;Guinea-Bissau;;624;0.90;1.04;1.13;1.16;1.07;0.85;0.64;0.51;0.45;0.40;0.31;0.20;0.10;0.04;0.04;0.07;0.12
68;Instant-replacement;Liberia;;430;0.99;1.15;1.28;1.31;1.18;0.94;0.70;0.59;0.55;0.50;0.40;0.27;0.15;0.08;0.06;0.08;0.11
69;Instant-replacement;Mali;;466;0.83;1.09;1.31;1.38;1.25;1.04;0.82;0.70;0.63;0.56;0.47;0.36;0.24;0.13;0.06;0.03;0.06
70;Instant-replacement;Mauritania;;478;0.98;1.08;1.16;1.16;1.05;0.86;0.64;0.47;0.38;0.33;0.27;0.17;0.06;-0.02;-0.05;-0.01;0.06
71;Instant-replacement;Niger;;562;0.97;1.26;1.51;1.61;1.47;1.23;1.01;0.83;0.74;0.67;0.57;0.43;0.27;0.14;0.05;0.04;0.08
72;Instant-replacement;Nigeria;;566;0.80;0.98;1.12;1.19;1.10;0.91;0.75;0.61;0.51;0.46;0.40;0.31;0.22;0.14;0.12;0.14;0.21
73;Instant-replacement;Saint Helena;3;654;0.72;0.77;0.64;0.34;0.11;0.04;0.09;0.18;0.19;0.17;0.15;0.18;0.16;0.13;0.08;0.04;0.09
74;Instant-replacement;Senegal;;686;1.06;1.20;1.33;1.41;1.35;1.15;0.93;0.74;0.63;0.60;0.56;0.46;0.35;0.23;0.15;0.10;0.09
75;Instant-replacement;Sierra Leone;;694;0.87;1.02;1.14;1.16;1.03;0.83;0.67;0.58;0.52;0.46;0.35;0.24;0.15;0.09;0.08;0.11;0.13
76;Instant-replacement;Togo;;768;1.10;1.23;1.34;1.36;1.23;1.00;0.81;0.69;0.62;0.55;0.46;0.35;0.24;0.17;0.12;0.11;0.12
